symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
PPG,0.9,3,69,stable,True,2026-07-02,125.33,6.0,12.4,3 contractions detected; Pullback range: 6.0% - 12.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
IBM,0.8,2,43,increasing,True,2026-06-18,249.1,9.3,14.2,2 contractions detected; Pullback range: 9.3% - 14.2%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
MU,0.8,2,45,stable,True,2026-06-18,1133.99,20.3,21.6,2 contractions detected; Pullback range: 20.3% - 21.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AMGN,0.8,2,52,stable,True,2026-06-22,344.72,6.3,10.2,2 contractions detected; Pullback range: 6.3% - 10.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
IQV,0.8,2,49,stable,True,2026-06-24,185.62,11.5,14.6,2 contractions detected; Pullback range: 11.5% - 14.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MRNA,0.8,2,44,stable,True,2026-06-18,63.96,22.3,26.2,2 contractions detected; Pullback range: 22.3% - 26.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
BRK.B,0.8,2,35,stable,True,2026-06-23,492.81,2.4,4.4,2 contractions detected; Pullback range: 2.4% - 4.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TFC,0.8,2,48,stable,True,2026-06-23,49.67,5.1,10.3,2 contractions detected; Pullback range: 5.1% - 10.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
BK,0.8,2,44,stable,True,2026-06-12,143.98,4.3,5.6,2 contractions detected; Pullback range: 4.3% - 5.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TGT,0.8,4,65,stable,True,2026-06-24,141.2,5.8,10.8,4 contractions detected; Pullback range: 5.8% - 10.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GIS,0.8,2,22,stable,True,2026-06-24,34.8,5.7,8.8,2 contractions detected; Pullback range: 5.7% - 8.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MPC,0.8,2,29,stable,True,2026-07-01,264.87,8.6,10.5,2 contractions detected; Pullback range: 8.6% - 10.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DUK,0.8,2,46,stable,True,2026-06-24,126.53,4.9,6.7,2 contractions detected; Pullback range: 4.9% - 6.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AEP,0.8,2,31,increasing,True,2026-06-23,133.74,6.3,9.9,2 contractions detected; Pullback range: 6.3% - 9.9%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
XEL,0.8,2,55,stable,True,2026-06-24,81.47,6.6,7.5,2 contractions detected; Pullback range: 6.6% - 7.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ETN,0.8,2,52,stable,True,2026-06-22,435.78,12.1,15.3,2 contractions detected; Pullback range: 12.1% - 15.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WM,0.8,2,41,stable,True,2026-07-02,230.4,7.7,10.0,2 contractions detected; Pullback range: 7.7% - 10.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GD,0.8,2,45,stable,True,2026-06-30,354.24,4.7,5.7,2 contractions detected; Pullback range: 4.7% - 5.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EQIX,0.8,4,60,stable,True,2026-06-22,1115.94,3.6,7.4,4 contractions detected; Pullback range: 3.6% - 7.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PSA,0.8,3,50,stable,True,2026-06-18,318.12,5.4,7.6,3 contractions detected; Pullback range: 5.4% - 7.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WELL,0.8,2,26,increasing,True,2026-06-24,221.43,5.0,7.5,2 contractions detected; Pullback range: 5.0% - 7.5%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
DLR,0.8,2,61,stable,True,2026-06-22,195.54,8.5,11.1,2 contractions detected; Pullback range: 8.5% - 11.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
O,0.8,3,56,stable,True,2026-06-26,62.85,4.2,5.1,3 contractions detected; Pullback range: 4.2% - 5.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LIN,0.8,2,45,stable,True,2026-06-25,522.28,5.9,6.2,2 contractions detected; Pullback range: 5.9% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MSFT,0.75,3,40,stable,False,,,5.1,8.2,3 contractions detected; Pullback range: 5.1% - 8.2%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ADBE,0.75,3,40,stable,False,,,9.8,10.7,3 contractions detected; Pullback range: 9.8% - 10.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
EOG,0.75,3,49,stable,False,,,9.3,9.8,3 contractions detected; Pullback range: 9.3% - 9.8%; Volume trend: stable; Price near recent highs; Confidence: 0.75
DOCU,0.75,3,41,stable,False,,,7.4,11.5,3 contractions detected; Pullback range: 7.4% - 11.5%; Volume trend: stable; Price near recent highs; Confidence: 0.75
COF,0.7,3,69,increasing,True,2026-06-18,201.53,7.8,10.7,3 contractions detected; Pullback range: 7.8% - 10.7%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
OTIS,0.7,2,69,increasing,True,2026-06-25,73.63,5.8,15.1,2 contractions detected; Pullback range: 5.8% - 15.1%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
PH,0.7,2,69,increasing,True,2026-06-18,953.27,7.4,18.3,2 contractions detected; Pullback range: 7.4% - 18.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
SHW,0.7,2,40,increasing,True,2026-06-24,333.13,10.5,12.4,2 contractions detected; Pullback range: 10.5% - 12.4%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
EBAY,0.7,2,29,increasing,True,2026-06-30,111.75,6.1,10.3,2 contractions detected; Pullback range: 6.1% - 10.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
NVDA,0.65,3,56,stable,False,,,10.2,14.1,3 contractions detected; Pullback range: 10.2% - 14.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ORCL,0.65,2,40,decreasing,False,,,10.9,15.3,2 contractions detected; Pullback range: 10.9% - 15.3%; Volume trend: decreasing; Confidence: 0.65
CRM,0.65,3,41,stable,False,,,8.4,13.7,3 contractions detected; Pullback range: 8.4% - 13.7%; Volume trend: stable; Price near recent highs; Confidence: 0.65
NOW,0.65,3,41,stable,False,,,10.6,20.0,3 contractions detected; Pullback range: 10.6% - 20.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
PFE,0.65,2,53,stable,False,,,4.8,8.1,2 contractions detected; Pullback range: 4.8% - 8.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ISRG,0.65,2,48,stable,False,,,11.8,14.9,2 contractions detected; Pullback range: 11.8% - 14.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
NKE,0.65,2,52,stable,False,,,9.7,12.0,2 contractions detected; Pullback range: 9.7% - 12.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
COP,0.65,2,43,stable,False,,,10.6,11.4,2 contractions detected; Pullback range: 10.6% - 11.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
SLB,0.65,2,34,stable,False,,,7.8,8.2,2 contractions detected; Pullback range: 7.8% - 8.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
PSX,0.65,2,34,stable,False,,,8.0,8.8,2 contractions detected; Pullback range: 8.0% - 8.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
OXY,0.65,2,35,stable,False,,,9.0,12.8,2 contractions detected; Pullback range: 9.0% - 12.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
UPS,0.65,2,46,stable,False,,,7.5,13.1,2 contractions detected; Pullback range: 7.5% - 13.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
FDX,0.65,4,55,stable,False,,,4.4,12.3,4 contractions detected; Pullback range: 4.4% - 12.3%; Volume trend: stable; Price near recent highs; Confidence: 0.65
PCAR,0.65,2,65,stable,False,,,5.1,17.2,2 contractions detected; Pullback range: 5.1% - 17.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CMCSA,0.65,2,53,stable,False,,,10.5,23.5,2 contractions detected; Pullback range: 10.5% - 23.5%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CCI,0.65,3,43,stable,False,,,5.5,7.9,3 contractions detected; Pullback range: 5.5% - 7.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
TSLA,0.55,2,40,stable,False,,,11.1,13.2,2 contractions detected; Pullback range: 11.1% - 13.2%; Volume trend: stable; Price near recent highs; Confidence: 0.55
CDNS,0.55,2,40,stable,False,,,9.2,10.4,2 contractions detected; Pullback range: 9.2% - 10.4%; Volume trend: stable; Price near recent highs; Confidence: 0.55
MCD,0.55,2,60,increasing,False,,,4.2,13.0,2 contractions detected; Pullback range: 4.2% - 13.0%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
RSG,0.55,2,49,stable,False,,,8.3,9.7,2 contractions detected; Pullback range: 8.3% - 9.7%; Volume trend: stable; Price near recent highs; Confidence: 0.55
T,0.55,2,50,stable,False,,,10.9,12.2,2 contractions detected; Pullback range: 10.9% - 12.2%; Volume trend: stable; Price near recent highs; Confidence: 0.55
ACN,0.5,3,45,stable,False,,,7.9,15.3,3 contractions detected; Pullback range: 7.9% - 15.3%; Volume trend: stable; Confidence: 0.50
